"userID","difficulty","orden","time","clicks","level","restarts","arrows_deleted"
"19052025193741","Lineal","2","19:43:36","60","2","1","12"
"19052025193741","Lineal","2","19:44:07","77","3","1","12"
"19052025193741","Lineal","2","19:44:28","84","4","1","12"
"19052025193741","Lineal","2","19:44:52","99","5","1","12"
"19052025193741","Lineal","2","19:45:44","139","6","2","24"
"19052025205047","Lineal","2","20:58:19","19","1","1","2"
"19052025205047","Lineal","2","20:59:02","26","1","3","2"
"19052025205047","Lineal","2","20:59:14","32","1","3","2"
"19052025205047","Lineal","2","20:59:54","50","2","4","2"
"19052025205047","Lineal","2","21:00:53","74","3","6","6"
"19052025213210","Exponencial","2","21:41:31","153","1","3","2"
"19052025213210","Exponencial","2","21:41:39","157","1","3","2"
"19052025213210","Exponencial","2","21:42:14","175","3","4","2"
"19052025213210","Exponencial","2","21:42:54","191","5","5","4"
"19052025213210","Exponencial","2","21:44:59","256","6","12","16"
"19052025221021","Lineal","1","22:11:37","17","1","1","0"
"19052025221021","Lineal","1","22:11:51","23","1","1","1"
"19052025221021","Lineal","1","22:12:11","31","2","1","1"
"19052025221021","Lineal","1","22:12:28","46","3","1","1"
"19052025221021","Lineal","1","22:12:48","51","4","1","1"
"19052025221021","Lineal","1","22:13:18","66","5","2","3"
"19052025221021","Lineal","1","22:13:56","81","6","3","4"
"19052025222018","Exponencial","1","22:21:35","26","1","0","0"
"19052025222018","Exponencial","1","22:22:29","47","3","0","0"
"19052025222018","Exponencial","1","22:23:50","79","5","0","5"
"19052025222018","Exponencial","1","22:24:28","96","6","0","5"
"20052025155330","Lineal","1","15:54:51","45","1","1","5"
"20052025155330","Lineal","1","15:55:04","49","1","1","5"
"20052025155330","Lineal","1","15:55:23","64","2","1","8"
"20052025174026","Lineal","1","17:41:10","15","1","0","0"
"20052025174026","Lineal","1","17:41:30","25","2","0","0"
"20052025174026","Lineal","1","17:41:59","41","3","1","1"
"20052025174026","Lineal","1","17:42:24","47","4","1","1"
"20052025174026","Lineal","1","17:45:17","116","5","4","15"
"20052025211747","Exponencial","3","21:29:11","49","1","4","3"
"20052025211747","Exponencial","3","21:29:25","50","1","4","3"
"20052025211747","Exponencial","3","21:30:27","86","3","5","11"
"20052025211747","Exponencial","3","21:36:01","255","5","13","56"
"22052025192015","Exponencial","1","19:22:18","26","1","1","2"
"22052025192015","Exponencial","1","19:22:37","32","1","1","2"
"22052025192015","Exponencial","1","19:23:09","49","3","1","2"
"22052025192015","Exponencial","1","19:23:42","64","5","1","3"
"22052025192015","Exponencial","1","19:25:39","107","6","4","11"
"22052025194203","Exponencial","1","19:43:49","44","1","0","0"
"22052025194203","Exponencial","1","19:44:32","63","3","1","1"
"22052025194203","Exponencial","1","19:45:07","75","5","1","1"
"22052025194203","Exponencial","1","19:47:01","115","6","3","7"
"22052025200217","Exponencial","1","20:03:04","11","1","0","0"
"22052025200217","Exponencial","1","20:03:57","27","3","3","1"
"22052025200217","Exponencial","1","20:04:34","45","3","5","2"
"22052025200217","Exponencial","1","20:05:15","62","5","7","4"
"22052025200217","Exponencial","1","20:08:16","115","6","16","20"
"22052025205143","Lineal","2","21:01:52","94","1","19","16"
"22052025210518","Lineal","1","21:05:30","6","1","0","0"
"22052025212928","Exponencial","2","21:36:36","18","1","3","0"
"22052025212928","Exponencial","2","21:37:23","33","1","4","0"
"22052025212928","Exponencial","2","21:37:46","37","1","4","0"
"22052025212928","Exponencial","2","21:39:56","81","3","12","3"
"22052025232631","Lineal","3","23:38:26","38","1","8","2"
"22052025232631","Lineal","3","23:38:40","41","1","8","2"
"22052025232631","Lineal","3","23:39:05","51","2","8","2"
"22052025232631","Lineal","3","23:39:46","76","3","8","7"
